paper,venue,setting,run_name,metric,published,our_field,scale,source
FedMut,AAAI 2024,CIFAR-10 cnn_cifar d1.0 100 clients,fedmut_cifar10_cnn_cifar_d1.0_fedmut,accuracy_last10_pct,58.9,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 cnn_cifar iid 100 clients,fedmut_cifar10_cnn_cifar_iid_fedavg,accuracy_last10_pct,57.32,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 cnn_cifar iid 100 clients,fedmut_cifar10_cnn_cifar_iid_fedmut,accuracy_last10_pct,59.7,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 d0.1 100 clients,fedmut_cifar10_resnet18_d0.1_fedavg,accuracy_last10_pct,44.41,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 d0.1 100 clients,fedmut_cifar10_resnet18_d0.1_fedmut,accuracy_last10_pct,55.43,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 d0.5 100 clients,fedmut_cifar10_resnet18_d0.5_fedavg,accuracy_last10_pct,61.75,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 d0.5 100 clients,fedmut_cifar10_resnet18_d0.5_fedmut,accuracy_last10_pct,67.89,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 d1.0 100 clients,fedmut_cifar10_resnet18_d1.0_fedavg,accuracy_last10_pct,65.88,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 d1.0 100 clients,fedmut_cifar10_resnet18_d1.0_fedmut,accuracy_last10_pct,70.01,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 iid 100 clients,fedmut_cifar10_resnet18_iid_fedavg,accuracy_last10_pct,64.08,global_test_acc_last10_mean,100,Table 1 p.12534
FedMut,AAAI 2024,CIFAR-10 resnet18 iid 100 clients,fedmut_cifar10_resnet18_iid_fedmut,accuracy_last10_pct,70.63,global_test_acc_last10_mean,100,Table 1 p.12534
FedCDA,ICLR 2024,fmnist shards2 20 clients,fedcda_fmnist_shards2_fedavg,accuracy_last10_pct,64.69,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist shards2 20 clients,fedcda_fmnist_shards2_fedcda,accuracy_last10_pct,66.3,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist shards4 20 clients,fedcda_fmnist_shards4_fedavg,accuracy_last10_pct,74.78,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist shards4 20 clients,fedcda_fmnist_shards4_fedcda,accuracy_last10_pct,76.59,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist shards8 20 clients,fedcda_fmnist_shards8_fedavg,accuracy_last10_pct,76.81,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist shards8 20 clients,fedcda_fmnist_shards8_fedcda,accuracy_last10_pct,78.99,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist dir0.1 20 clients,fedcda_fmnist_dir0.1_fedavg,accuracy_last10_pct,71.81,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist dir0.1 20 clients,fedcda_fmnist_dir0.1_fedcda,accuracy_last10_pct,78.63,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist dir0.3 20 clients,fedcda_fmnist_dir0.3_fedavg,accuracy_last10_pct,75.97,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist dir0.3 20 clients,fedcda_fmnist_dir0.3_fedcda,accuracy_last10_pct,84.67,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist dir0.5 20 clients,fedcda_fmnist_dir0.5_fedavg,accuracy_last10_pct,79.73,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,fmnist dir0.5 20 clients,fedcda_fmnist_dir0.5_fedcda,accuracy_last10_pct,87.01,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 shards2 20 clients,fedcda_cifar10_shards2_fedavg,accuracy_last10_pct,28.1,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 shards2 20 clients,fedcda_cifar10_shards2_fedcda,accuracy_last10_pct,34.97,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 shards4 20 clients,fedcda_cifar10_shards4_fedavg,accuracy_last10_pct,59.83,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 shards4 20 clients,fedcda_cifar10_shards4_fedcda,accuracy_last10_pct,62.81,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 shards8 20 clients,fedcda_cifar10_shards8_fedavg,accuracy_last10_pct,70.87,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 shards8 20 clients,fedcda_cifar10_shards8_fedcda,accuracy_last10_pct,72.04,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 dir0.1 20 clients,fedcda_cifar10_dir0.1_fedavg,accuracy_last10_pct,50.43,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 dir0.1 20 clients,fedcda_cifar10_dir0.1_fedcda,accuracy_last10_pct,62.46,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 dir0.3 20 clients,fedcda_cifar10_dir0.3_fedavg,accuracy_last10_pct,61.11,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 dir0.3 20 clients,fedcda_cifar10_dir0.3_fedcda,accuracy_last10_pct,70.27,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 dir0.5 20 clients,fedcda_cifar10_dir0.5_fedavg,accuracy_last10_pct,67.37,global_test_acc_last10_mean,100,Table 1 p.8
FedCDA,ICLR 2024,cifar10 dir0.5 20 clients,fedcda_cifar10_dir0.5_fedcda,accuracy_last10_pct,74.96,global_test_acc_last10_mean,100,Table 1 p.8
FedFDP,ACNS 2026,MNIST Dir0.1 10 clients eps3.52,fedfdp_mnist_fedavgdp,accuracy_pct,93.40,final_global_test_accuracy,100,Table 3 p.15
FedFDP,ACNS 2026,MNIST Dir0.1 10 clients eps3.52,fedfdp_mnist_fedfdp,accuracy_pct,95.13,final_global_test_accuracy,100,Table 3 p.15 (Table 5: 94.13)
FairWeight,IEEE TSC 2026,adult R3C DP-constrained,fairweight_r3c_adult_fedavg,accuracy,0.77,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,adult R3C DP-constrained,fairweight_r3c_adult_fedavg,balanced_accuracy,0.79,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,adult R3C DP-constrained,fairweight_r3c_adult_fedavg,dp,0.409,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,adult R3C DP-constrained,fairweight_r3c_adult_fairweight,accuracy,0.71,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,adult R3C DP-constrained,fairweight_r3c_adult_fairweight,balanced_accuracy,0.75,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,adult R3C DP-constrained,fairweight_r3c_adult_fairweight,dp,0.01,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,bank R3C DP-constrained,fairweight_r3c_bank_fedavg,accuracy,0.87,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,bank R3C DP-constrained,fairweight_r3c_bank_fedavg,balanced_accuracy,0.79,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,bank R3C DP-constrained,fairweight_r3c_bank_fedavg,dp,0.076,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,bank R3C DP-constrained,fairweight_r3c_bank_fairweight,accuracy,0.85,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,bank R3C DP-constrained,fairweight_r3c_bank_fairweight,balanced_accuracy,0.83,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,bank R3C DP-constrained,fairweight_r3c_bank_fairweight,dp,0.011,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,default R3C DP-constrained,fairweight_r3c_default_fedavg,accuracy,0.78,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,default R3C DP-constrained,fairweight_r3c_default_fedavg,balanced_accuracy,0.69,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,default R3C DP-constrained,fairweight_r3c_default_fedavg,dp,0.053,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,default R3C DP-constrained,fairweight_r3c_default_fairweight,accuracy,0.75,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,default R3C DP-constrained,fairweight_r3c_default_fairweight,balanced_accuracy,0.71,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,default R3C DP-constrained,fairweight_r3c_default_fairweight,dp,0.015,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,law R3C DP-constrained,fairweight_r3c_law_fedavg,accuracy,0.88,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,law R3C DP-constrained,fairweight_r3c_law_fedavg,balanced_accuracy,0.72,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,law R3C DP-constrained,fairweight_r3c_law_fedavg,dp,0.037,final_global_test_dp,1,Table II p.9
FairWeight,IEEE TSC 2026,law R3C DP-constrained,fairweight_r3c_law_fairweight,accuracy,0.83,final_global_test_accuracy,1,Table II p.9
FairWeight,IEEE TSC 2026,law R3C DP-constrained,fairweight_r3c_law_fairweight,balanced_accuracy,0.78,final_global_test_ba,1,Table II p.9
FairWeight,IEEE TSC 2026,law R3C DP-constrained,fairweight_r3c_law_fairweight,dp,0.005,final_global_test_dp,1,Table II p.9
